VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone
2,2025-06-01 00:50:06,2025-06-01 01:13:45,1,4.42,1,N,79,48,1,25.4,1.0,0.5,6.23,0.0,1.0,37.38,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Clinton East,Yellow Zone
2,2025-06-01 00:06:48,2025-06-01 00:08:32,1,0.65,1,N,114,107,1,5.1,1.0,0.5,2.0,0.0,1.0,12.85,2.5,0.0,0.75,Manhattan,Greenwich Village South,Yellow Zone,Manhattan,Gramercy,Yellow Zone
2,2025-06-01 00:16:58,2025-06-01 00:32:41,1,4.05,1,N,79,140,2,19.8,1.0,0.5,0.0,0.0,1.0,25.55,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Lenox Hill East,Yellow Zone
2,2025-06-01 00:37:19,2025-06-01 00:40:57,1,0.74,1,N,141,263,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0.0,Manhattan,Lenox Hill West,Yellow Zone,Manhattan,Yorkville West,Yellow Zone
2,2025-06-01 00:49:09,2025-06-01 01:04:44,1,1.43,1,N,249,148,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
2,2025-06-01 00:07:47,2025-06-01 00:12:25,1,0.78,1,N,186,234,1,6.5,1.0,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Union Sq,Yellow Zone
2,2025-06-01 00:16:09,2025-06-01 00:32:30,1,2.65,1,N,234,87,1,16.3,1.0,0.5,4.41,0.0,1.0,26.46,2.5,0.0,0.75,Manhattan,Union Sq,Yellow Zone,Manhattan,Financial District North,Yellow Zone
2,2025-06-01 00:42:39,2025-06-01 00:57:03,1,2.44,1,N,125,246,1,15.6,1.0,0.5,4.0,0.0,1.0,25.35,2.5,0.0,0.75,Manhattan,Hudson Sq,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
2,2025-06-01 00:09:54,2025-06-01 00:15:02,2,0.35,1,N,148,148,1,6.5,1.0,0.5,2.0,0.0,1.0,14.25,2.5,0.0,0.75,Manhattan,Lower East Side,Yellow Zone,Manhattan,Lower East Side,Yellow Zone
2,2025-06-01 00:50:32,2025-06-01 00:59:31,1,2.4,1,N,48,238,1,12.8,1.0,0.5,6.0,0.0,1.0,24.55,2.5,0.0,0.75,Manhattan,Clinton East,Yellow Zone,Manhattan,Upper West Side North,Yellow Zone
2,2025-06-01 00:30:52,2025-06-01 00:54:00,1,3.98,1,N,246,141,1,22.6,1.0,0.5,5.67,0.0,1.0,34.02,2.5,0.0,0.75,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone
2,2025-06-01 00:00:54,2025-06-01 00:05:46,1,0.65,1,N,249,249,1,6.5,1.0,0.5,2.0,0.0,1.0,14.25,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,West Village,Yellow Zone
2,2025-06-01 00:07:07,2025-06-01 00:23:04,1,3.17,1,N,249,229,1,17.0,1.0,0.5,2.0,0.0,1.0,24.75,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
1,2025-06-01 00:09:55,2025-06-01 00:30:22,1,3.8,1,N,125,143,1,19.8,4.25,0.5,5.1,0.0,1.0,30.65,2.5,0.0,0.75,Manhattan,Hudson Sq,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
